lat,lon,date,temp_max,temp_min,precip
40.75,-74.01,2021-08-02,26.9,17.6,0.0
40.75,-74.01,2021-08-03,24.5,16.0,0.0
40.75,-74.01,2021-08-04,24.8,17.9,0.8
40.75,-74.01,2021-08-05,27.3,17.8,0.1
40.75,-74.01,2021-08-06,29.0,17.4,0.0
40.75,-74.01,2021-08-07,30.0,19.9,0.0
40.75,-74.01,2021-08-08,23.0,19.2,13.2
40.75,-74.01,2021-08-09,26.7,20.5,0.7
40.75,-74.01,2021-08-10,27.5,20.6,5.9
40.75,-74.01,2021-08-11,32.1,23.3,3.4
40.75,-74.01,2021-08-12,35.4,23.2,0.0
40.75,-74.01,2021-08-13,33.3,25.0,0.0
40.75,-74.01,2021-08-14,31.8,24.5,5.2
40.75,-74.01,2021-08-15,28.0,20.6,0.0
40.75,-74.01,2021-08-16,26.9,20.3,0.0
40.75,-74.01,2021-08-17,26.5,22.3,2.3
40.75,-74.01,2021-08-18,27.3,21.4,1.9
40.75,-74.01,2021-08-19,30.7,23.7,8.3
40.75,-74.01,2021-08-20,27.0,22.4,1.8
40.75,-74.01,2021-08-21,27.4,22.3,1.2
40.75,-74.01,2021-08-22,23.9,22.6,67.3
40.75,-74.01,2021-08-23,28.9,22.2,35.1
40.75,-74.01,2021-08-24,31.2,22.1,0.0
40.75,-74.01,2021-08-25,31.6,20.4,0.0
40.75,-74.01,2021-08-26,32.2,22.9,0.1
40.75,-74.01,2021-08-27,32.7,23.8,1.6
40.75,-74.01,2021-08-28,26.2,20.4,3.3
40.75,-74.01,2021-08-29,24.8,19.5,2.0
40.75,-74.01,2021-08-30,29.0,21.9,5.2
40.75,-74.01,2021-08-31,29.1,21.5,0.0
40.75,-74.01,2021-09-01,23.5,18.6,111.5
40.75,-74.0,2021-06-01,23.9,9.6,0.0
40.75,-74.0,2021-06-02,21.8,12.7,0.0
40.75,-74.0,2021-06-03,22.5,13.2,13.8
40.75,-74.0,2021-06-04,25.5,17.7,5.1
40.75,-74.0,2021-06-05,31.6,17.2,0.0
40.75,-74.0,2021-06-06,31.5,20.3,0.0
40.75,-74.0,2021-06-07,30.4,20.9,0.3
40.75,-74.0,2021-06-08,30.3,21.9,5.8
40.75,-74.0,2021-06-09,30.5,21.5,1.4
40.75,-74.0,2021-06-10,26.6,17.0,0.2
40.75,-74.0,2021-06-11,20.8,15.4,0.5
40.75,-74.0,2021-06-12,21.4,16.2,0.4
40.75,-74.0,2021-06-13,23.7,14.8,0.1
40.75,-74.0,2021-06-14,21.4,17.7,17.8
40.75,-74.0,2021-06-15,25.5,17.4,0.6
40.75,-74.0,2021-06-16,23.4,15.4,0.0
40.75,-74.0,2021-06-17,24.1,12.4,0.0
40.75,-74.0,2021-06-18,27.6,13.4,0.0
40.75,-74.0,2021-06-19,32.4,19.6,2.0
40.75,-74.0,2021-06-20,29.3,17.3,0.3
40.75,-74.0,2021-06-21,27.9,21.7,0.5
40.75,-74.0,2021-06-22,24.6,15.2,8.8
40.75,-74.0,2021-06-23,23.3,12.4,0.0
40.75,-74.0,2021-06-24,22.8,13.6,0.0
40.75,-74.0,2021-06-25,24.3,15.9,0.0
40.75,-74.0,2021-06-26,26.3,18.6,1.8
40.75,-74.0,2021-06-27,29.3,22.2,0.5
40.75,-74.0,2021-06-28,32.6,23.0,0.0
40.75,-74.0,2021-06-29,33.6,24.1,0.0
40.75,-74.0,2021-06-30,35.5,25.0,0.0
40.75,-74.0,2021-07-01,28.7,21.9,22.9
40.75,-74.0,2021-07-02,24.5,20.0,28.0
40.75,-74.0,2021-07-03,19.6,16.6,16.7
40.75,-74.0,2021-07-04,25.1,15.7,1.7
40.75,-74.0,2021-07-05,26.4,18.1,0.2
40.75,-74.0,2021-07-06,33.4,22.0,0.6
40.75,-74.0,2021-07-07,31.9,22.1,1.0
40.75,-74.0,2021-07-08,28.0,21.5,12.2
40.75,-74.0,2021-07-09,30.1,21.9,37.2
40.75,-74.0,2021-07-10,25.9,20.9,1.0
40.75,-74.0,2021-07-11,24.8,20.0,2.5
40.75,-74.0,2021-07-12,28.5,22.3,16.2
40.75,-74.0,2021-07-13,25.8,21.2,1.8
40.75,-74.0,2021-07-14,30.6,21.6,1.3
40.75,-74.0,2021-07-15,29.4,21.2,0.1
40.75,-74.0,2021-07-16,32.5,23.4,0.4
40.75,-74.0,2021-07-17,30.8,23.5,8.7
40.75,-74.0,2021-07-18,28.5,23.3,15.0
40.75,-74.0,2021-07-19,27.8,21.0,0.2
40.75,-74.0,2021-07-20,31.1,21.2,0.0
40.75,-74.0,2021-07-21,28.1,21.1,5.3
40.75,-74.0,2021-07-22,26.8,17.8,0.0
40.75,-74.0,2021-07-23,26.4,17.5,0.0
40.75,-74.0,2021-07-24,26.8,18.2,0.0
40.75,-74.0,2021-07-25,28.8,20.0,7.9
40.75,-74.0,2021-07-26,31.9,21.7,0.0
40.75,-74.0,2021-07-27,30.6,19.5,0.1
40.75,-74.0,2021-07-28,27.0,20.4,1.1
40.75,-74.0,2021-07-29,25.5,19.8,32.2
40.75,-74.0,2021-07-30,28.0,19.4,0.0
40.75,-74.0,2021-07-31,25.9,14.5,0.0
40.75,-74.0,2021-08-01,24.2,16.5,0.7
40.75,-74.0,2021-08-02,26.6,17.3,0.0
40.75,-74.0,2021-08-03,24.3,15.8,0.0
40.75,-74.0,2021-08-04,24.5,17.6,0.8
40.75,-74.0,2021-08-05,27.1,17.5,0.1
40.75,-74.0,2021-08-06,28.8,17.2,0.0
40.75,-74.0,2021-08-07,29.7,19.7,0.0
40.75,-74.0,2021-08-08,22.8,18.9,13.2
40.75,-74.0,2021-08-09,26.4,20.2,0.7
40.75,-74.0,2021-08-10,27.3,20.4,5.9
40.75,-74.0,2021-08-11,31.8,23.1,3.4
40.75,-74.0,2021-08-12,35.2,23.0,0.0
40.75,-74.0,2021-08-13,33.1,24.8,0.0
40.75,-74.0,2021-08-14,31.5,24.3,5.2
40.75,-74.0,2021-08-15,27.7,20.4,0.0
40.75,-74.0,2021-08-16,26.6,20.1,0.0
40.75,-74.0,2021-08-17,26.2,22.0,2.3
40.75,-74.0,2021-08-18,27.0,21.1,1.9
40.75,-74.0,2021-08-19,30.4,23.5,8.3
40.75,-74.0,2021-08-20,26.7,22.1,1.8
40.75,-74.0,2021-08-21,27.1,22.1,1.2
40.75,-74.0,2021-08-22,23.6,22.4,67.3
40.75,-74.0,2021-08-23,28.6,21.9,35.1
40.75,-74.0,2021-08-24,30.9,21.9,0.0
40.75,-74.0,2021-08-25,31.3,20.2,0.0
40.75,-74.0,2021-08-26,31.9,22.6,0.1
40.75,-74.0,2021-08-27,32.4,23.5,1.6
40.75,-74.0,2021-08-28,26.0,20.1,3.3
40.75,-74.0,2021-08-29,24.5,19.2,2.0
40.75,-74.0,2021-08-30,28.7,21.7,5.2
40.75,-74.0,2021-08-31,28.9,21.3,0.0
40.75,-74.0,2021-09-01,23.3,18.4,111.5
40.75,-73.99,2021-06-01,23.8,9.5,0.0
40.75,-73.99,2021-06-02,21.7,12.6,0.0
40.75,-73.99,2021-06-03,22.4,13.1,13.8
40.75,-73.99,2021-06-04,25.4,17.6,5.1
40.75,-73.99,2021-06-05,31.5,17.1,0.0
40.75,-73.99,2021-06-06,31.4,20.2,0.0
40.75,-73.99,2021-06-07,30.3,20.8,0.3
40.75,-73.99,2021-06-08,30.2,21.8,5.8
40.75,-73.99,2021-06-09,30.4,21.4,1.4
40.75,-73.99,2021-06-10,26.5,16.9,0.2
40.75,-73.99,2021-06-11,20.7,15.3,0.5
40.75,-73.99,2021-06-12,21.3,16.1,0.4
40.75,-73.99,2021-06-13,23.6,14.7,0.1
40.75,-73.99,2021-06-14,21.3,17.6,17.8
40.75,-73.99,2021-06-15,25.4,17.3,0.6
40.75,-73.99,2021-06-16,23.3,15.3,0.0
40.75,-73.99,2021-06-17,24.0,12.3,0.0
40.75,-73.99,2021-06-18,27.5,13.3,0.0
40.75,-73.99,2021-06-19,32.3,19.5,2.0
40.75,-73.99,2021-06-20,29.2,17.2,0.3
40.75,-73.99,2021-06-21,27.8,21.6,0.5
40.75,-73.99,2021-06-22,24.5,15.1,8.8
40.75,-73.99,2021-06-23,23.2,12.3,0.0
40.75,-73.99,2021-06-24,22.7,13.5,0.0
40.75,-73.99,2021-06-25,24.2,15.8,0.0
40.75,-73.99,2021-06-26,26.2,18.5,1.8
40.75,-73.99,2021-06-27,29.2,22.1,0.5
40.75,-73.99,2021-06-28,32.5,22.9,0.0
40.75,-73.99,2021-06-29,33.5,24.0,0.0
40.75,-73.99,2021-06-30,35.4,24.9,0.0
40.75,-73.99,2021-07-01,28.6,21.8,22.9
40.75,-73.99,2021-07-02,24.4,19.9,28.0
40.75,-73.99,2021-07-03,19.5,16.5,16.7
40.75,-73.99,2021-07-04,25.0,15.6,1.7
40.75,-73.99,2021-07-05,26.3,18.0,0.2
40.75,-73.99,2021-07-06,33.3,21.9,0.6
40.75,-73.99,2021-07-07,31.8,22.0,1.0
40.75,-73.99,2021-07-08,27.9,21.4,12.2
40.75,-73.99,2021-07-09,30.0,21.8,37.2
40.75,-73.99,2021-07-10,25.8,20.8,1.0
40.75,-73.99,2021-07-11,24.7,19.9,2.5
40.75,-73.99,2021-07-12,28.4,22.2,16.2
40.75,-73.99,2021-07-13,25.7,21.1,1.8
40.75,-73.99,2021-07-14,30.5,21.5,1.3
40.75,-73.99,2021-07-15,29.3,21.1,0.1
40.75,-73.99,2021-07-16,32.4,23.3,0.4
40.75,-73.99,2021-07-17,30.7,23.4,8.7
40.75,-73.99,2021-07-18,28.4,23.2,15.0
40.75,-73.99,2021-07-19,27.7,20.9,0.2
40.75,-73.99,2021-07-20,31.0,21.1,0.0
40.75,-73.99,2021-07-21,28.0,21.0,5.3
40.75,-73.99,2021-07-22,26.7,17.7,0.0
40.75,-73.99,2021-07-23,26.3,17.4,0.0
40.75,-73.99,2021-07-24,26.7,18.1,0.0
40.75,-73.99,2021-07-25,28.7,19.9,7.9
40.75,-73.99,2021-07-26,31.8,21.6,0.0
40.75,-73.99,2021-07-27,30.5,19.4,0.1
40.75,-73.99,2021-07-28,26.9,20.3,1.1
40.75,-73.99,2021-07-29,25.4,19.7,32.2
40.75,-73.99,2021-07-30,27.9,19.3,0.0
40.75,-73.99,2021-07-31,25.8,14.4,0.0
40.75,-73.99,2021-08-01,24.1,16.4,0.7
40.75,-73.99,2021-08-02,26.5,17.2,0.0
40.75,-73.99,2021-08-03,24.2,15.7,0.0
40.75,-73.99,2021-08-04,24.4,17.5,0.8
40.75,-73.99,2021-08-05,27.0,17.4,0.1
40.75,-73.99,2021-08-06,28.7,17.1,0.0
40.75,-73.99,2021-08-07,29.6,19.6,0.0
40.75,-73.99,2021-08-08,22.7,18.8,13.2
40.75,-73.99,2021-08-09,26.3,20.1,0.7
40.75,-73.99,2021-08-10,27.2,20.3,5.9
40.75,-73.99,2021-08-11,31.7,23.0,3.4
40.75,-73.99,2021-08-12,35.1,22.9,0.0
40.75,-73.99,2021-08-13,33.0,24.7,0.0
40.75,-73.99,2021-08-14,31.4,24.2,5.2
40.75,-73.99,2021-08-15,27.6,20.3,0.0
40.75,-73.99,2021-08-16,26.5,20.0,0.0
40.75,-73.99,2021-08-17,26.1,21.9,2.3
40.75,-73.99,2021-08-18,26.9,21.0,1.9
40.75,-73.99,2021-08-19,30.3,23.4,8.3
40.75,-73.99,2021-08-20,26.6,22.0,1.8
40.75,-73.99,2021-08-21,27.0,22.0,1.2
40.75,-73.99,2021-08-22,23.5,22.3,67.3
40.75,-73.99,2021-08-23,28.5,21.8,35.1
40.75,-73.99,2021-08-24,30.8,21.8,0.0
40.75,-73.99,2021-08-25,31.2,20.1,0.0
40.75,-73.99,2021-08-26,31.8,22.5,0.1
40.75,-73.99,2021-08-27,32.3,23.4,1.6
40.75,-73.99,2021-08-28,25.9,20.0,3.3
40.75,-73.99,2021-08-29,24.4,19.1,2.0
40.75,-73.99,2021-08-30,28.6,21.6,5.2
40.75,-73.99,2021-08-31,28.8,21.2,0.0
40.75,-73.99,2021-09-01,23.2,18.3,111.5
40.75,-73.97999999999999,2021-06-01,23.6,9.4,0.0
40.75,-73.97999999999999,2021-06-02,21.5,12.4,0.0
40.75,-73.97999999999999,2021-06-03,22.3,13.0,13.8
40.75,-73.97999999999999,2021-06-04,25.2,17.5,5.1
40.75,-73.97999999999999,2021-06-05,31.4,17.0,0.0
40.75,-73.97999999999999,2021-06-06,31.3,20.0,0.0
40.75,-73.97999999999999,2021-06-07,30.1,20.6,0.3
40.75,-73.97999999999999,2021-06-08,30.0,21.7,5.8
40.75,-73.97999999999999,2021-06-09,30.3,21.2,1.4
40.75,-73.97999999999999,2021-06-10,26.3,16.7,0.2
40.75,-73.97999999999999,2021-06-11,20.6,15.2,0.5
40.75,-73.97999999999999,2021-06-12,21.2,15.9,0.4
40.75,-73.97999999999999,2021-06-13,23.4,14.6,0.1
40.75,-73.97999999999999,2021-06-14,21.1,17.4,17.8
40.75,-73.97999999999999,2021-06-15,25.3,17.2,0.6
40.75,-73.97999999999999,2021-06-16,23.1,15.1,0.0
40.75,-73.97999999999999,2021-06-17,23.8,12.2,0.0
40.75,-73.97999999999999,2021-06-18,27.3,13.2,0.0
40.75,-73.97999999999999,2021-06-19,32.1,19.3,2.0
40.75,-73.97999999999999,2021-06-20,29.0,17.1,0.3
40.75,-73.97999999999999,2021-06-21,27.6,21.4,0.5
40.75,-73.97999999999999,2021-06-22,24.3,15.0,8.8
40.75,-73.97999999999999,2021-06-23,23.0,12.2,0.0
40.75,-73.97999999999999,2021-06-24,22.6,13.4,0.0
40.75,-73.97999999999999,2021-06-25,24.0,15.7,0.0
40.75,-73.97999999999999,2021-06-26,26.1,18.4,1.8
40.75,-73.97999999999999,2021-06-27,29.1,21.9,0.5
40.75,-73.97999999999999,2021-06-28,32.4,22.7,0.0
40.75,-73.97999999999999,2021-06-29,33.3,23.8,0.0
40.75,-73.97999999999999,2021-06-30,35.2,24.7,0.0
40.75,-73.97999999999999,2021-07-01,28.4,21.7,22.9
40.75,-73.97999999999999,2021-07-02,24.2,19.8,28.0
40.75,-73.97999999999999,2021-07-03,19.3,16.4,16.7
40.75,-73.97999999999999,2021-07-04,24.9,15.5,1.7
40.75,-73.97999999999999,2021-07-05,26.1,17.8,0.2
40.75,-73.97999999999999,2021-07-06,33.1,21.8,0.6
40.75,-73.97999999999999,2021-07-07,31.6,21.8,1.0
40.75,-73.97999999999999,2021-07-08,27.8,21.2,12.2
40.75,-73.97999999999999,2021-07-09,29.8,21.6,37.2
40.75,-73.97999999999999,2021-07-10,25.7,20.7,1.0
40.75,-73.97999999999999,2021-07-11,24.5,19.8,2.5
40.75,-73.97999999999999,2021-07-12,28.3,22.1,16.2
40.75,-73.97999999999999,2021-07-13,25.6,20.9,1.8
40.75,-73.97999999999999,2021-07-14,30.4,21.4,1.3
40.75,-73.97999999999999,2021-07-15,29.2,21.0,0.1
40.75,-73.97999999999999,2021-07-16,32.2,23.1,0.4
40.75,-73.97999999999999,2021-07-17,30.5,23.2,8.7
40.75,-73.97999999999999,2021-07-18,28.3,23.0,15.0
40.75,-73.97999999999999,2021-07-19,27.5,20.7,0.2
40.75,-73.97999999999999,2021-07-20,30.9,20.9,0.0
40.75,-73.97999999999999,2021-07-21,27.9,20.9,5.3
40.75,-73.97999999999999,2021-07-22,26.6,17.6,0.0
40.75,-73.97999999999999,2021-07-23,26.1,17.3,0.0
40.75,-73.97999999999999,2021-07-24,26.6,18.0,0.0
40.75,-73.97999999999999,2021-07-25,28.5,19.8,7.9
40.75,-73.97999999999999,2021-07-26,31.6,21.5,0.0
40.75,-73.97999999999999,2021-07-27,30.4,19.2,0.1
40.75,-73.97999999999999,2021-07-28,26.8,20.2,1.1
40.75,-73.97999999999999,2021-07-29,25.3,19.6,32.2
40.75,-73.97999999999999,2021-07-30,27.7,19.2,0.0
40.75,-73.97999999999999,2021-07-31,25.7,14.3,0.0
40.75,-73.97999999999999,2021-08-01,24.0,16.2,0.7
40.75,-73.97999999999999,2021-08-02,26.4,17.1,0.0
40.75,-73.97999999999999,2021-08-03,24.0,15.5,0.0
40.75,-73.97999999999999,2021-08-04,24.3,17.4,0.8
40.75,-73.97999999999999,2021-08-05,26.8,17.3,0.1
40.75,-73.97999999999999,2021-08-06,28.5,16.9,0.0
40.75,-73.97999999999999,2021-08-07,29.5,19.4,0.0
40.75,-73.97999999999999,2021-08-08,22.5,18.7,13.2
40.75,-73.97999999999999,2021-08-09,26.2,20.0,0.7
40.75,-73.97999999999999,2021-08-10,27.0,20.1,5.9
40.75,-73.97999999999999,2021-08-11,31.6,22.8,3.4
40.75,-73.97999999999999,2021-08-12,34.9,22.7,0.0
40.75,-73.97999999999999,2021-08-13,32.8,24.5,0.0
40.75,-73.97999999999999,2021-08-14,31.3,24.0,5.2
40.75,-73.97999999999999,2021-08-15,27.5,20.1,0.0
40.75,-73.97999999999999,2021-08-16,26.4,19.8,0.0
40.75,-73.97999999999999,2021-08-17,26.0,21.8,2.3
40.75,-73.97999999999999,2021-08-18,26.8,20.9,1.9
40.75,-73.97999999999999,2021-08-19,30.2,23.2,8.3
40.75,-73.97999999999999,2021-08-20,26.5,21.9,1.8
40.75,-73.97999999999999,2021-08-21,26.9,21.8,1.2
40.75,-73.97999999999999,2021-08-22,23.4,22.1,67.3
40.75,-73.97999999999999,2021-08-23,28.4,21.7,35.1
40.75,-73.97999999999999,2021-08-24,30.7,21.6,0.0
40.75,-73.97999999999999,2021-08-25,31.1,19.9,0.0
40.75,-73.97999999999999,2021-08-26,31.7,22.4,0.1
40.75,-73.97999999999999,2021-08-27,32.2,23.3,1.6
40.75,-73.97999999999999,2021-08-28,25.7,19.9,3.3
40.75,-73.97999999999999,2021-08-29,24.3,19.0,2.0
40.75,-73.97999999999999,2021-08-30,28.5,21.4,5.2
40.75,-73.97999999999999,2021-08-31,28.6,21.0,0.0
40.75,-73.97999999999999,2021-09-01,23.0,18.1,111.5
40.75,-73.96999999999998,2021-06-01,23.4,10.3,0.0
40.75,-73.96999999999998,2021-06-02,21.3,12.9,0.0
40.75,-73.96999999999998,2021-06-03,22.1,13.2,8.9
40.75,-73.96999999999998,2021-06-04,24.9,17.6,6.8
40.75,-73.96999999999998,2021-06-05,31.6,16.5,0.0
40.75,-73.96999999999998,2021-06-06,31.3,19.9,0.0
40.75,-73.96999999999998,2021-06-07,30.3,20.8,0.2
40.75,-73.96999999999998,2021-06-08,30.0,21.6,2.8
40.75,-73.96999999999998,2021-06-09,30.7,21.6,1.0
40.75,-73.96999999999998,2021-06-10,26.5,16.4,0.0
40.75,-73.96999999999998,2021-06-11,20.8,14.9,0.9
40.75,-73.96999999999998,2021-06-12,21.2,15.8,0.5
40.75,-73.96999999999998,2021-06-13,23.5,14.5,0.1
40.75,-73.96999999999998,2021-06-14,21.0,17.1,17.2
40.75,-73.96999999999998,2021-06-15,25.6,17.4,0.9
40.75,-73.96999999999998,2021-06-16,23.3,15.2,0.0
40.75,-73.96999999999998,2021-06-17,24.2,12.1,0.0
40.75,-73.96999999999998,2021-06-18,26.8,13.4,0.0
40.75,-73.96999999999998,2021-06-19,32.2,19.4,2.4
40.75,-73.96999999999998,2021-06-20,29.1,17.5,0.1
40.75,-73.96999999999998,2021-06-21,27.3,21.4,0.5
40.75,-73.96999999999998,2021-06-22,25.2,15.5,9.2
40.75,-73.96999999999998,2021-06-23,23.4,12.4,0.0
40.75,-73.96999999999998,2021-06-24,22.8,14.8,0.0
40.75,-73.96999999999998,2021-06-25,24.5,16.2,0.0
40.75,-73.96999999999998,2021-06-26,25.7,18.6,1.0
40.75,-73.96999999999998,2021-06-27,28.2,21.5,0.5
40.75,-73.96999999999998,2021-06-28,32.2,22.7,0.0
40.75,-73.96999999999998,2021-06-29,33.9,24.0,0.2
40.75,-73.96999999999998,2021-06-30,35.6,25.2,0.1
40.75,-73.96999999999998,2021-07-01,29.1,21.7,24.4
40.75,-73.96999999999998,2021-07-02,24.0,20.3,24.6
40.75,-73.96999999999998,2021-07-03,19.4,15.9,20.4
40.75,-73.96999999999998,2021-07-04,24.5,16.0,1.6
40.75,-73.96999999999998,2021-07-05,25.9,17.7,0.5
40.75,-73.96999999999998,2021-07-06,32.9,21.8,0.9
40.75,-73.96999999999998,2021-07-07,31.1,22.1,0.9
40.75,-73.96999999999998,2021-07-08,27.8,21.3,10.1
40.75,-73.96999999999998,2021-07-09,29.6,22.1,38.3
40.75,-73.96999999999998,2021-07-10,25.7,20.8,2.0
40.75,-73.96999999999998,2021-07-11,24.7,20.1,3.0
40.75,-73.96999999999998,2021-07-12,28.3,22.1,6.7
40.75,-73.96999999999998,2021-07-13,25.9,20.8,1.7
40.75,-73.96999999999998,2021-07-14,29.8,21.4,0.5
40.75,-73.96999999999998,2021-07-15,29.5,21.8,0.0
40.75,-73.96999999999998,2021-07-16,31.2,23.4,0.1
40.75,-73.96999999999998,2021-07-17,30.6,23.6,4.6
40.75,-73.96999999999998,2021-07-18,28.4,23.0,14.5
40.75,-73.96999999999998,2021-07-19,27.4,20.7,0.5
40.75,-73.96999999999998,2021-07-20,30.9,21.0,0.0
40.75,-73.96999999999998,2021-07-21,28.1,21.3,4.9
40.75,-73.96999999999998,2021-07-22,26.8,17.9,0.0
40.75,-73.96999999999998,2021-07-23,26.1,17.1,0.0
40.75,-73.96999999999998,2021-07-24,26.6,18.3,0.0
40.75,-73.96999999999998,2021-07-25,27.0,20.3,7.9
40.75,-73.96999999999998,2021-07-26,31.8,21.8,0.0
40.75,-73.96999999999998,2021-07-27,30.5,19.8,0.0
40.75,-73.96999999999998,2021-07-28,27.3,20.2,0.8
40.75,-73.96999999999998,2021-07-29,25.3,20.3,32.4
40.75,-73.96999999999998,2021-07-30,28.2,19.0,0.0
40.75,-73.96999999999998,2021-07-31,25.5,14.2,0.0
40.75,-73.96999999999998,2021-08-01,24.5,17.3,0.3
40.75,-73.96999999999998,2021-08-02,27.3,17.4,0.0
40.75,-73.96999999999998,2021-08-03,24.5,16.2,0.0
40.75,-73.96999999999998,2021-08-04,24.6,19.1,0.7
40.75,-73.96999999999998,2021-08-05,27.0,17.5,0.4
40.75,-73.96999999999998,2021-08-06,29.4,18.1,0.0
40.75,-73.96999999999998,2021-08-07,29.9,20.0,0.0
40.75,-73.96999999999998,2021-08-08,22.6,19.1,14.1
40.75,-73.96999999999998,2021-08-09,26.3,20.4,1.0
40.75,-73.96999999999998,2021-08-10,27.1,20.3,4.5
40.75,-73.96999999999998,2021-08-11,30.4,22.9,2.0
40.75,-73.96999999999998,2021-08-12,34.2,22.9,0.0
40.75,-73.96999999999998,2021-08-13,34.3,24.8,0.0
40.75,-73.96999999999998,2021-08-14,31.2,24.2,6.7
40.75,-73.96999999999998,2021-08-15,27.8,20.2,0.0
40.75,-73.96999999999998,2021-08-16,27.0,19.7,0.0
40.75,-73.96999999999998,2021-08-17,26.6,22.1,1.3
40.75,-73.96999999999998,2021-08-18,27.3,21.7,0.7
40.75,-73.96999999999998,2021-08-19,30.6,23.7,6.1
40.75,-73.96999999999998,2021-08-20,26.9,22.0,1.4
40.75,-73.96999999999998,2021-08-21,27.3,21.8,0.7
40.75,-73.96999999999998,2021-08-22,23.8,22.4,61.3
40.75,-73.96999999999998,2021-08-23,28.4,22.0,29.7
40.75,-73.96999999999998,2021-08-24,31.0,21.8,0.0
40.75,-73.96999999999998,2021-08-25,31.2,20.2,0.0
40.75,-73.96999999999998,2021-08-26,31.6,22.6,0.3
40.75,-73.96999999999998,2021-08-27,32.6,23.7,0.7
40.75,-73.96999999999998,2021-08-28,26.1,19.5,5.1
40.75,-73.96999999999998,2021-08-29,24.5,18.6,0.8
40.75,-73.96999999999998,2021-08-30,28.0,21.8,8.5
40.75,-73.96999999999998,2021-08-31,28.9,20.6,0.0
40.75,-73.96999999999998,2021-09-01,22.9,20.5,90.6
40.75,-73.95999999999998,2021-06-01,23.8,10.7,0.0
40.75,-73.95999999999998,2021-06-02,21.7,13.3,0.0
40.75,-73.95999999999998,2021-06-03,22.5,13.6,8.9
40.75,-73.95999999999998,2021-06-04,25.3,18.0,6.8
40.75,-73.95999999999998,2021-06-05,32.0,16.9,0.0
40.75,-73.95999999999998,2021-06-06,31.7,20.3,0.0
